ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,VICTIMA,ACUSADO,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,CALLE,CRUCE,LATITUD,LONGITUD,DIA_SEMANA
2016-0001,1,2016-01-01,2016,1,1,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,MOTO,AUTO,CONDUCTOR,MASCULINO,19,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.47533969,-34.68757022,Friday
2016-0002,1,2016-01-02,2016,1,2,1,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,70,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,-58.50877521,-34.66977709,Saturday
2016-0003,1,2016-01-03,2016,1,3,7,AV ENTRE RIOS 2034,AVENIDA,MOTO,AUTO,CONDUCTOR,MASCULINO,30,ENTRE RIOS AV.,,-58.39040293,-34.63189362,Sunday
2016-0004,1,2016-01-10,2016,1,10,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,MOTO,SD,CONDUCTOR,MASCULINO,18,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.",-58.46503904,-34.68092974,Sunday
2016-0005,1,2016-01-21,2016,1,21,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,29,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.",-58.38718297,-34.6224663,Thursday
2016-0008,1,2016-01-24,2016,1,24,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,27 DE FEBRERO AV.,ESCALADA AV.,-58.44451316,-34.68475866,Sunday
2016-0009,1,2016-01-24,2016,1,24,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,29,NOGOYA,"GONZALEZ, JOAQUIN V.",-58.50095869,-34.6082544,Sunday
2016-0010,1,2016-01-29,2016,1,29,15,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,MOTO,AUTO,CONDUCTOR,MASCULINO,18,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,-58.50877521,-34.66977709,Friday
2016-0012,1,2016-02-08,2016,2,8,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,MOTO,CARGAS,CONDUCTOR,MASCULINO,22,BELGRANO AV.,"IRIGOYEN, BERNARDO DE",-58.38048577,-34.61303893,Monday
2016-0013,1,2016-02-10,2016,2,10,11,AV ENTRE RIOS 1366,AVENIDA,PEATON,AUTO,PEATON,MASCULINO,16,ENTRE RIOS AV.,,-58.39114932,-34.62477387,Wednesday
2016-0015,1,2016-02-14,2016,2,14,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,PEATON,AUTO,PEATON,FEMENINO,16,"SCALABRINI ORTIZ, RAUL AV.",VERA,-58.4376002,-34.59912758,Sunday
2016-0016,1,2016-02-14,2016,2,14,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,19,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO",-58.36882665,-34.64291993,Sunday
2016-0017,1,2016-02-15,2016,2,15,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,PEATON,MOTO,PEATON,MASCULINO,59,"ACOSTA, MARIANO","JANER, ANA MARIA",-58.44989671,-34.65970435,Monday
2016-0019,1,2016-02-17,2016,2,17,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,PEATON,PASAJEROS,PEATON,FEMENINO,65,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO",-58.50990884,-34.65468721,Wednesday
2016-0020,1,2016-02-17,2016,2,17,16,SUIPACHA 156,CALLE,PEATON,AUTO,PEATON,MASCULINO,59,SUIPACHA,,-58.37952223,-34.60653282,Wednesday
2016-0021,1,2016-02-17,2016,2,17,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,AUTO,AUTO,CONDUCTOR,MASCULINO,34,DIRECTORIO AV.,CURAPALIGUE,-58.45157703,-34.63063795,Wednesday
2016-0022,1,2016-02-21,2016,2,21,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,41,9 DE JULIO AV.,"ALSINA, ADOLFO",-58.38144696,-34.61079875,Sunday
2016-0025,1,2016-02-28,2016,2,28,4,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,-58.46244952,-34.70524971,Sunday
2016-0026,1,2016-02-28,2016,2,28,7,HOLMBERG Y VEDIA,CALLE,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,HOLMBERG,VEDIA,-58.49216191,-34.54738649,Sunday
2016-0027,1,2016-02-28,2016,2,28,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,CURAPALIGUE AV.,"DIAZ, AVELINO",-58.44497874,-34.63852623,Sunday
2016-0028,1,2016-03-02,2016,3,2,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,PEATON,CARGAS,PEATON,MASCULINO,50,VIAMONTE,9 DE JULIO AV.,-58.38199706,-34.60028648,Wednesday
2016-0029,1,2016-03-04,2016,3,4,17,AV CABILDO Y DEHEZA,AVENIDA,PEATON,PASAJEROS,PEATON,MASCULINO,38,CABILDO AV.,DEHEZA,-58.47378664,-34.54153077,Friday
2016-0031,1,2016-03-08,2016,3,8,12,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21,"PAZ, GRAL. AV.","ROCA, CNEL. AV.",-58.47064556,-34.69843756,Tuesday
2016-0034,1,2016-03-12,2016,3,12,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,PEATON,PASAJEROS,PEATON,MASCULINO,52,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO",-58.40623949,-34.65076549,Saturday
2016-0035,1,2016-03-13,2016,3,13,6,AV CORRIENTES Y AV CALLAO,AVENIDA,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,34,CORRIENTES AV.,CALLAO AV.,-58.39228965,-34.60443527,Sunday
2016-0036,1,2016-03-14,2016,3,14,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,36,HERRERA,"VALLE, ARISTOBULO DEL",-58.37813396,-34.63668504,Monday
2016-0037,1,2016-03-19,2016,3,19,11,AV. EVA PERON Y QUIRNO,AVENIDA,MOTO,MOTO,CONDUCTOR,MASCULINO,20,LAFUENTE AV.,QUIRNO,-58.46275892,-34.64358293,Saturday
2016-0038,1,2016-03-21,2016,3,21,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,PEATON,PASAJEROS,PEATON,MASCULINO,29,"PAZ, GRAL. AV.",ZUVIRIA,-58.49683458,-34.67892743,Monday
2016-0039,1,2016-03-23,2016,3,23,1,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,20,"MITRE, BARTOLOME",PUEYRREDON AV.,-58.40603217,-34.6088396,Wednesday
2016-0041,2,2016-03-29,2016,3,29,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,MOTO,CARGAS,CONDUCTOR,MASCULINO,54,DIRECTORIO AV.,RIVERA INDARTE AV.,-58.4607655,-34.63350444,Tuesday
2016-0041,2,2016-03-29,2016,3,29,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,MOTO,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,,DIRECTORIO AV.,RIVERA INDARTE AV.,-58.4607655,-34.63350444,Tuesday
2016-0043,1,2016-03-30,2016,3,30,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,PEATON,CARGAS,PEATON,FEMENINO,56,"DELLEPIANE, LUIS, TTE. GRAL.",MURGUIONDO,-58.47832463,-34.67494416,Wednesday
2016-0044,1,2016-03-31,2016,3,31,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,MOTO,MULTIPLE,CONDUCTOR,MASCULINO,24,"MORENO, JOSE MARIA AV.",BALBASTRO,-58.43213235,-34.63693953,Thursday
